mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
286426.548387,344670.419355,455717.322581,324890.645161,399053.193548,254486.903226,260018.129032,332180.451612857,74475.4664262386
368587.741935,358468.096774,429970.419355,517004.322581,425369.419355,356814.83871,305990.322581,394600.737327286,68850.3053271905
342142.967742,382950.741935,443419.903226,497824.935484,421177.870968,349315.83871,281429.677419,388323.133640571,72128.3378735581
361086.033333,348538.6,443093.766667,443958.733333,425033.066667,379698.966667,381925.733333,397619.271428571,39323.0336878362
285659.451613,372124.83871,570719.064516,382520.419355,363359.548387,301292.741935,279414.290323,365012.907834143,100298.889069115
294054.172414,393756.482759,646579.448276,374878.413793,640080.517241,294592.068966,383963.137931,432557.748768571,149600.934093856
288299.62069,388117.586207,603252.551724,353451.689655,358673.862069,372554.37931,291470.103448,379402.827586143,105961.201319676
365901.793103,340036.172414,446738.068966,383529.413793,287933.448276,387742.724138,289973.689655,357407.901477857,56760.3286230604
617350.769231,479811,415628.961538,443174.923077,409267.576923,410942.384615,415821.961538,455999.653846,75524.5221122055
685650.37037,688449.555556,501986.407407,458779.962963,463360.296296,441204.740741,453948.851852,527625.740740714,110498.959316198
406006.37037,585122.592593,504303.37037,467655.074074,395117.333333,385154.407407,370888.666667,444892.544973429,78259.3663341962
473923.592593,367170.407407,445599.925926,425782.518519,405849,434216.222222,358608.703704,415878.624338714,41713.0201381934
505433.37037,506415.740741,708624.037037,516502.37037,470837.148148,453838.148148,356636.740741,502612.507936429,105950.960760284
544460.333333,545818.111111,502757.37037,432209.62963,501572.62963,556795.814815,407846.148148,498780.005291,58294.2384204247
459929.518519,490429.148148,371057.740741,517922.851852,375369.444444,439289.777778,419562.037037,439080.074074143,55309.2672388804
453103.111111,458117.407407,410083.592593,498477.407407,420730.444444,509767.666667,425418.037037,453671.095238,38638.7443580851
524690.185185,538361,403023.407407,464456.777778,501789.148148,560523.222222,424404.111111,488178.264550143,59374.0650665522
549384.52,543838.08,382791.16,462945.4,410815.2,488244.52,387252.52,460753.057142857,70111.1261629474
399264.4,485417.92,382086.72,337614.08,329126.04,375930.72,306991.08,373775.851428571,59088.657465404
400906.68,511933.72,308901.8,332577.96,325086.08,386325.08,296610.48,366048.828571429,75049.2179235954
489777.125,364786.583333,326945.166667,341670.166667,341630.625,388551.625,298249.333333,364515.803571429,62070.7191281813
406450.458333,347915.666667,316957.75,342334.458333,330968.208333,391900,300579.958333,348158.071428429,38466.3493890971
497091.25,428230.041667,408498.875,343027.916667,420404.208333,420074.5,445378.833333,423243.660714286,45895.4911973131
408856.64,418440.6,341867,389847,326960.24,486951.04,402457.04,396482.794285714,52782.1887409225
411901.416667,448193.041667,363809.25,336032.583333,331295.125,452265.708333,360851.375,386335.5,50897.7124541095
423320,469886.916667,347586.208333,392436.041667,327666.25,450931.666667,357755.416667,395654.642857286,54330.8667984581
423767.541667,455436.291667,352241.041667,404157.208333,327353.041667,449844.333333,361916.583333,396388.005952429,50095.4725022478
506248.72,401685.88,337376.6,354427,318011.84,397687.56,341416.08,379550.525714286,63930.2167746778
562337.75,580778.791667,499082.916667,428662.666667,443680,599021.333333,487455.708333,514431.309523857,67302.4908820922
511852.666667,646506.25,516845.708333,428730,421197.458333,580541.125,434442.166667,505730.767857143,85374.0873885407
456725.75,561402.416667,516786.791667,404296,406647.541667,559504.666667,543738.375,492728.791666857,69381.0834705923
