,set up=,6367,,,,,,set up=,4960,,,,,,set up=,276345,,,,,,set up=,30149,,,,,,set up=,15704,,,,,,set up=,297062,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,
,604,10273,234,31788,3,,,114,2238,50,7586,3,,,207620,172744,678,5306,3,,,623,12878,315,53376,3,,,630,12737,392,43988,3,,,49801218,11908073,1413,21991,3,,,,,,
,482,11615,217,44927,3,,,105,2774,65,10318,3,,,209459,181999,690,10769,3,,,628,14528,486,69682,3,,,630,14646,463,59492,3,,,50583247,6476712,3378,62121,3,,,,,,
,564,13794,297,76798,2,,,114,3201,60,16523,2,,,213709,185189,843,27072,2,,,626,16511,500,118399,2,,,625,16958,530,98039,2,,,45494387,12811117,4288,187267,2,,,,,,
,521,17232,296,75404,2,,,112,3805,60,16233,2,,,214801,195393,847,45512,2,,,650,19584,517,117214,2,,,629,20530,526,98859,2,,,34628657,7962890,4282,185303,2,,,,,,
,502,16631,244,50673,2,,,105,3770,54,10831,2,,,221169,212107,1081,16103,2,,,629,19057,499,85192,2,,,620,20234,470,68026,2,,,31485442,4629106,4722,47375,2,,,,,,
,516,16591,248,46188,2,,,112,3512,57,10017,2,,,259191,253444,900,14763,2,,,616,18300,496,79833,2,,,626,19434,477,64169,2,,,60563753,7476821,2831,46010,2,,,,,,
,540,16302,250,44008,2,,,112,3495,54,9694,2,,,255338,197546,656,11662,2,,,625,18309,475,74995,2,,,625,19550,456,59968,2,,,55681004,10386765,3773,44688,2,,,,,,
,485,15501,316,44822,2,,,106,3405,58,9747,2,,,216777,176901,750,10890,2,,,640,18908,512,76982,2,,,636,19060,500,59912,2,,,58890403,9593945,4152,60153,2,,,,,,
,514,15702,242,40171,2,,,111,3505,73,8548,2,,,215983,196850,910,10442,2,,,610,18448,452,70670,2,,,600,18634,490,55045,2,,,54522171,2653341,2482,57327,2,,,,,,
,487,15108,264,37831,2,,,110,3314,70,8178,2,,,216386,211630,624,10309,2,,,644,18828,458,67494,2,,,614,18715,489,52509,2,,,31959158,3329799,5034,78866,2,,,,,,
,502,9632,211,42113,2,,,112,2108,51,9309,2,,,212153,8813,711,11791,2,,,592,12128,357,67200,2,,,576,11925,344,57708,2,,,54970048,5363089,3523,42684,2,,,,,,
,502,8980,292,30661,2,,,99,2045,47,6918,2,,,371940,9481,1496,8510,2,,,603,12754,370,53994,2,,,601,12740,352,44270,2,,,47525515,10693189,2750,72852,2,,,,,,
,456,8523,221,24370,2,,,102,1851,51,5403,2,,,371315,8620,1429,7105,2,,,585,12167,343,46380,2,,,597,11804,306,37906,2,,,52625405,5761422,3623,44200,2,,,,,,
,484,7310,204,21828,2,,,96,1633,44,4779,2,,,394159,9093,1587,7282,2,,,620,10905,282,39194,2,,,594,10394,375,32152,2,,,51457019,5129423,2894,36335,2,,,,,,
,482,7078,191,21419,2,,,98,1489,36,4515,2,,,381460,10989,1042,7979,2,,,581,10583,280,37274,2,,,575,9969,346,29906,2,,,47716728,9373014,2051,26393,2,,,,,,
,423,7158,195,18846,2,,,93,1532,39,4091,2,,,18013487,4474259,722,9292,2,,,587,10277,280,34666,2,,,574,10026,283,28286,2,,,63201969,790347,4644,44900,2,,,,,,
,418,10523,285,40220,2,,,95,2265,60,9855,2,,,419652,13249,1371,10308,2,,,581,13421,373,68603,2,,,571,13244,356,54276,2,,,53877811,223907,1130,34477,2,,,,,,
,454,9308,223,29887,2,,,98,2273,56,6425,2,,,385431,12006,547,9404,2,,,574,13485,366,53650,2,,,593,13557,389,43240,2,,,45860019,5732204,2640,53563,2,,,,,,
,463,10351,192,28656,2,,,106,2091,48,6168,2,,,373144,11473,727,7716,2,,,566,13294,343,52798,2,,,562,13730,370,42229,2,,,38478280,5687156,1476,49605,2,,,,,,
,445,9551,209,26289,2,,,96,2151,46,5635,2,,,338285,9636,681,8532,2,,,546,13462,330,50185,2,,,550,13246,360,40320,2,,,33635054,460918,1529,38934,2,,,,,,
,460,9211,197,23675,2,,,96,2010,40,5132,2,,,418220,13476,1598,9334,2,,,576,11906,306,44296,2,,,563,11983,284,34383,2,,,28111288,6664868,10385,51224,2,,,,,,
,448,8517,200,22886,2,,,92,1872,50,7829,2,,,346997,10662,779,7935,2,,,546,11622,320,42000,2,,,557,11694,330,33365,2,,,38767268,5288250,4123,46271,2,,,,,,
,472,8294,166,21693,2,,,97,1933,49,4888,2,,,340223,11362,1458,7213,2,,,557,11734,312,40568,2,,,544,11747,310,31916,2,,,49149871,6364063,4542,70154,2,,,,,,
,435,7165,186,21859,2,,,93,1615,37,4741,2,,,337557,9063,1166,7110,2,,,537,10120,293,39009,2,,,557,9779,292,31464,2,,,29852777,5439630,5157,174008,2,,,,,,
,423,5141,0,0,1,,,95,1101,0,0,1,,,333430,6809,0,0,1,,,535,7531,0,0,1,,,534,7259,0,0,1,,,27102410,5371444,0,0,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1253,9027,1281,14280,,,,-17390846,-8977074,-684,14269,,,,,,,,,,,109,-876,-287,1041,,,,-34556403,-1209147736,-11515955,-11067927,,,,,,,
,,,,,,,,757,14200,1697,21240,,,,-3552,-133690,-23,22528,,,,,,,,,,,-3,-464,-413,4471,,,,-22882361,-824539482,-504985,11242,,,,,,,
,,,,,,,,654,15726,1498,34461,,,,-3341,-76099,-326,39524,,,,,,,,,,,-444,-397,-411,6731,,,,-23702176,-529182566,-5517665,-100617,,,,,,,
,,,,,,,,587,12540,953,32931,,,,-3347,-38910,-2276,38323,,,,,,,,,,,26,280,-29,5881,,,,-21243626,-286501356,-5929449,31046,,,,,,,
,,,,,,,,572,13480,843,39427,,,,-37028,-27354,-1230,46154,,,,,,,,,,,-374,324,-71,6143,,,,-28936248,-214236388,-5553741,40754,,,,,,,
,,,,,,,,540,14314,949,43244,,,,-45571,-10461,-691,48917,,,,,,,,,,,6,255,-62,22084,,,,-28688832,-143461185,-5655281,63333,,,,,,,
,,,,,,,,506,12662,718,41315,,,,-375029,-9359,-930,41594,,,,,,,,,,,-318,242,52,7880,,,,-41258101,-96677396,-265778,32804,,,,,,,
,,,,,,,,506,11473,510,36623,,,,-696359,-4728,-967,35796,,,,,,,,,,,49,8,104,5663,,,,-49046583,-63735175,-5566059,35569,,,,,,,
,,,,,,,,486,9196,458,30385,,,,-779325,356,-985,24867,,,,,,,,,,,-307,698,-45,6595,,,,-39901964,-21271017,-5293732,37809,,,,,,,
,,,,,,,,452,9202,355,36810,,,,-623173,-2527472,-1175,37019,,,,,,,,,,,10,314,-165,10018,,,,-40180394,-31880157,-10740782,2203,,,,,,,
